Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,ATC CODE,Codice Gruppo Equivalenza,Class,4.1 Therapeutic indications,4.2 Posology and method of administration,4.3 Contraindications,4.4 Special warnings and precautions for use,4.5 Interactions with other medicinal products,"4.6 Fertility, pregnancy and lactation",4.7 Effects on ability to drive and use machines,4.8 Undesirable effects (side effects),4.9 Overdose,6.2 Incompatibilities
Octreotide,"OCTREOTIDE 0,5MG 10 UNITA' USO PARENTERALE","OCTREOTIDE*10 fiale SC EV 1 ml 0,5 mg/ml",BIOINDUSTRIA L.I.M. SpA,40014033,,E2K,A,Controllo sintomatico e riduzione dei livelli plasmatici dell’ormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgica o radioterapia.,"Tumori endocrini gastro-entero-pancreatici: Iniziare con una dose di 0,05 mg per una o due volte al giorno per via sottocutanea.","Ipersensibilità al principio attivo, octreotide, o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1","Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio-antagonisti, o agenti per il controllo del bilancio idro-elettrolitico quando Octreotide Bioindustria L.I.M. è somministrata contemporaneamente",I dati relativi all’uso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Octreotide Bioindustria L.I.M. non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari, del metabolismo e della nutrizione",È stato riportato un numero limitato di casi di sovradosaggio accidentale di octreotide in adulti e bambini.,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli menzionati nel paragrafo 6.6.
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","ZYPREXA*28 cpr riv 2,5 mg",CHEPLAPHARM REGISTRATION GMBH,33638026,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane.",Non esistono studi adeguati e ben controllati su donne in stato di gravidanza.,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse, associate con l’uso di olanzapina, più frequentemente segnalate (osservate in misura ≥ 1°% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi.","Sintomi molto frequenti da sovradosaggio (con incidenza > 10 %) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",Questo medicinale non deve essere mescolato con altri prodotti ad eccezione di quelli menzionati al paragrafo 6.6. Olanzapina iniettabile non deve essere aggiunta in una siringa a diazepam iniettabile perché quando questi prodotti vengono mescolati si determina una precipitazione,
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",MYLAN PHARMACEUTICALS LIMITED,39034018,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia.,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die.,"Ipersensibilità al principio attivo, alle arachidi o alla soia o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.","Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane","Dal momento che olanzapina è metabolizzato dal CYP1A2, le sostanze che possono specificatamente indurre o inibire questo isoenzima possono influenzare la farmacocinetica di olanzapina",Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari,"Nel corso degli studi clinici le reazioni avverse, associate con l’uso di olanzapina, più frequentemente riportate sono state sonnolenza, aumento di peso, eosinofilia e aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio comprendono tachicardia, agitazione, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma.",Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli menzionati nel paragrafo 6.6.
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",DOC GENERICI Srl,39949019,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane.","Dal momento che olanzapina è metabolizzato dal CYP1A2, le sostanze che possono specificatamente indurre o inibire questo isoenzima possono influenzare la farmacocinetica di olanzapina",Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse, associate con l’uso di olanzapina, più frequentemente segnalate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10 %) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma.",Non pertinente
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",EG SpA,40089029,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia,Posologia Adulti Schizofrenia: la dose iniziale raccomandata di olanzapina è di 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,Nel trattamento antipsicotico il miglioramento della condizione clinica del paziente può necessitare da parecchi giorni ad alcune settimane,"Dal momento che olanzapina è metabolizzato dal CYP1A2, le sostanze che possono specificatamente indurre o inibire questo isoenzima possono influenzare la farmacocinetica di olanzapina",Non sono stati condotti studi adeguati e ben controllati su donne in gravidanza,"Gli effetti indesiderati più comuni (riscontrati nel ≥ 1% dei pazienti) associati all’uso di olanzapina durante gli studi clinici, sono stati sonnolenza, aumento ponderale, eosinofilia, aumento dei livelli di prolattina, colesterolo, glucosio e trigliceridi.","Gli effetti indesiderati più comuni (riscontrati nel ≥ 1% dei pazienti) associati all’uso di olanzapina durante gli studi clinici, sono stati sonnolenza, aumento ponderale, eosinofilia, aumento dei livelli di prolattina, colesterolo, glucosio e trigliceridi.","Sintomi molto comuni da sovradosaggio (con incidenza > 10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",Non pertinente
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",SUN PHARMACEUTICAL IND.EU.B.V.,40223012,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia,Adulti Schizofrenia: La dose iniziale raccomandata di olanzapina è di 10 mg/die. Episodio di mania: la dose iniziale è di 15 mg da somministrare in un'unica dose giornaliera in monoterapia o 10 mg/die in terapia combinata (vedere paragrafo 5.1),Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1. Pazienti a rischio noto di glaucoma ad angolo chiuso,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza. Le pazienti devono essere avvertite sulla necessità di informare il proprio medico in caso di gravidanza in atto o programmata in corso di trattamento con olanzapina,"Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari. Dal momento che olanzapina può provocare sonnolenza e capogiro, i pazienti devono essere informati che occorre cautela nel fare uso di macchinari, inclusi i veicoli a motore","Nel corso degli studi clinici le reazioni avverse, associate con l’uso di olanzapina, più frequentemente segnalate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina","Sintomi molto frequenti da sovradosaggio (incidenza >10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",Non pertinente.
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",SANDOZ SpA,40333054,,FNA,A,Adulti Olanzapina è indicata per il trattamento della schizofrenia,Adulti Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg al giorno,Ipersensibilità al principio attivo o a uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere molti giorni, ad alcune settimane.",Sono stati eseguiti studi di interazione solo negli adulti.,Gravidanza Non esistono studi adeguati e ben controllati sulle donne durante la gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e usare macchinari,"Riassunto del profilo di sicurezza Adulti Nel corso degli studi clinici le reazioni avverse, associate con l’uso di olanzapina più frequentemente riportate (osservate in ≥ 1% dei pazienti) sono state: sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi (vedere paragrafo 4.4), glicosuria, aumento dell’appetito, capogiro, acatisia, parkinsonismo, leucopenia, neutropenia (vedere paragrafo 4.4), discinesia, ipotensione ortostatica, effetti anticolinergici, aumenti transitori ed asintomatici delle aminotransferasi epatiche (vedere paragrafo 4.4), eruzione cutanea, astenia, affaticamento, piressia, artralgia, aumento della fosfatasi alcalina, alta gammaglutamil trasferasi, alto acido urico, alta creatinfosfochinasi ed edema","Segni e sintomi I sintomi da sovradosaggio molto frequenti (incidenza >10%) comprendono tachicardia, agitazione/aggressività, disartria, sintomi extrapiramidali di vario tipo e una riduzione del livello di coscienza variabile dalla sedazione al coma",N. A.
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr 2,5 mg",AUROBINDO PHARMA ITALIA Srl,40429033,,FNA,A,Adulti Olanzapina è indicata per il trattamento della schizofrenia.,Adulti Schizofrenia: la dose iniziale raccomandata per olanzapina è di 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da numerosi giorni ad alcune settimane",Gli studi di interazione sono stati condotti solo negli adulti,Non sono disponibili studi adeguati e ben controllati su donne in gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Riassunto del profilo di sicurezza Adulti Le reazioni avverse segnalate più frequentemente (osservate in ≥ 1% dei pazienti) associate all’uso di olanzapina negli studi clinici sono state sonnolenza, aumento di peso, eosinofilia, elevati livelli di prolattina, colesterolo, glucosio e trigliceridi (vedere paragrafo 4.4), glicosuria, aumento dell’appetito, capogiro, acatisia, parkinsonismo, leucopenia, neutropenia (vedere paragrafo 4.4), discinesia, ipotensione ortostatica, effetti anticolinergici, aumenti transitori e asintomatici delle aminotransferasi epatiche (vedere paragrafo 4.4), eruzione cutanea, astenia, affaticamento, piressia, artralgia, fosfatasi alcalina aumentata, gammaglutammiltransferasi elevati, acido urico elevato, creatin fosfochinasi elevata ed edema","Sintomi molto comuni di sovradosaggio (incidenza >10%) includono tachicardia, agitazione/aggressività, disartria, numerosi sintomi extrapiramidali e ridotti livelli di coscienza che variano dalla sedazione al coma",N. A.
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",ZENTIVA ITALIA Srl,40830022,,FNA,A,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",CHEPLAPHARM REGISTRATION GMBH,40870014,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane.",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in ≥ 1 % dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10 %) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma.",N. A.
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr riv 2,5 mg",ACCORD HEALTHCARE SLU,41598018,,FNA,A,Adulti Olanzapina Accord è indicata per il trattamento della schizofrenia.,Adulti Schizofrenia: Il dosaggio iniziale raccomandato di Olanzapina Accord è 10 mg/die.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane.",Studi di interazione sono stati effettuati solo negli adulti,Gravidanza Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Riassunto del profilo di sicurezza Adulti Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi (vedere paragrafo 4.4)","Sintomi molto comuni da sovradosaggio (con incidenza >10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr 2,5 mg",TOWA PHARMACEUTICAL SpA,42681015,,FNA,A,Olanzapina Pensa è indicata per il trattamento della schizofrenia.,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die.,"""Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti. Pazienti a rischio noto di glaucoma ad angolo chiuso","Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Popolazione pediatrica Studi di interazione sono stati effettuati solo negli adulti.,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza.,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Adulti Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente riportate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","OLANZAPINA*28 cpr 2,5 mg",GLENMARK ARZNEIMITTEL GMBH,43547013,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die,"Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.""","Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1 % dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza >10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",NA.
Olanzapina,"OLANZAPINA 2,5MG 28 UNITA' USO ORALE","FARPENTA*28 cpr riv 2,5 mg",DOUBLE-E PHARMA LTD,47486016,,FNA,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti. Pazienti a rischio noto di glaucoma ad angolo chiuso,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Adulti Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente riportate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,ZYPREXA*28 cpr riv 5 mg,CHEPLAPHARM REGISTRATION GMBH,33638038,N05AH03 - OLANZAPINA,FNB,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti.,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1 % dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza >10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,ZYPREXA VELOTAB*28 cpr orodispers 5 mg,CHEPLAPHARM REGISTRATION GMBH,33638115,N05AH03 - OLANZAPINA,FNB,A,Olanzapina è indicata per il trattamento della schizofrenia.,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza.,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1 % dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza >10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,OLANZAPINA*28 cpr riv 5 mg,MYLAN PHARMACEUTICALS LIMITED,39034071,N05AH03 - OLANZAPINA,FNB,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die,"Ipersensibilità al principio attivo, alle arachidi o alla soia o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1","Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti.,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1 % dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10 %) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,OLANZAPINA*28 cpr riv 5 mg,DOC GENERICI Srl,39949021,N05AH03 - OLANZAPINA,FNB,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1. Pazienti a rischio noto di glaucoma ad angolo chiuso,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1 % dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10 %) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma.",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,OLANZAPINA*28 cpr orodispers 5 mg,DOC GENERICI Srl,39987019,N05AH03 - OLANZAPINA,FNB,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: Il dosaggio iniziale raccomandato di olanzapina è 10 mg/die.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1 % dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10 %) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma.",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,OLANZAPINA*28 cpr riv 5 mg,EG SpA,40089056,N05AH03 - OLANZAPINA,FNB,A,Adulti Olanzapina è indicata per il trattamento della schizofrenia.,Posologia Adulti Schizofrenia: la dose iniziale raccomandata di olanzapina è di 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Gli studi di interazione sono stati condotti solo negli adulti,Gravidanza Non esistono studi adeguati e ben controllati su donne in stato di gravidanza.,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Riassunto del profilo di sicurezza Adulti Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente segnalate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza >10%) includono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,OLANZAPINA*28 cpr riv 5 mg,SUN PHARMACEUTICAL IND.EU.B.V.,40223048,N05AH03 - OLANZAPINA,FNB,A,Olanzapina è indicata per il trattamento della schizofrenia,Schizofrenia: La dose iniziale raccomandata di olanzapina è di 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza.,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente riportate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma",N.A
Olanzapina,OLANZAPINA 5MG 28 UNITA' USO ORALE,OLANZAPINA*28 cpr orodispers 5 mg,SUN PHARMACEUTICAL IND.EU.B.V.,40223190,N05AH03 - OLANZAPINA,FNB,A,Olanzapina è indicata per il trattamento della schizofrenia.,Schizofrenia: La dose iniziale raccomandata di olanzapina è di 10 mg/die,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Durante il trattamento antipsicotico, il miglioramento della condizione clinica del paziente può richiedere da diversi giorni ad alcune settimane",Studi di interazione sono stati effettuati solo negli adulti.,Non esistono studi adeguati e ben controllati su donne in stato di gravidanza.,Non sono stati effettuati studi sulla capacità di guidare veicoli e sull’uso di macchinari.,"Nel corso degli studi clinici le reazioni avverse associate con l’uso di olanzapina più frequentemente riportate (osservate in misura ≥ 1% dei pazienti) sono state sonnolenza, aumento di peso, eosinofilia, aumentati livelli di prolattina, colesterolo, glucosio e trigliceridi","Sintomi molto frequenti da sovradosaggio (con incidenza > 10%) comprendono tachicardia, agitazione/aggressività, disartria, manifestazioni extrapiramidali di vario tipo ed una riduzione del livello di coscienza variabile dalla sedazione al coma.",N.A
